lake_name,sampling_date,gps_coordinates_utm,latitude,longitude,sample_depth_m,chlorophyll_concentration_ug/L,pheophytin_concentration_ug/L,total_chlorophyll_pheophytin_ug/L,sample_volume_L,percent_filtered,chlorophyll_665nm_absorbancy,chlorophyll_750nm_absorbancy,pheophytin_665nm_absorbancy,pheophytin_750nm_absorbancy,notes
Devonian,2016-Jan-14,14U 0627523 5520102,49.81979,-97.22719,0,4,0,4,1,100,0.104,0.054,0.04,0.011,
Lake 3,2016-Jan-14,14U 0627538 5519851,49.81753,-97.22706,0,6,0,6,1,100,0.102,0.021,0.055,0.006,
Lake 2,2016-Jan-14,14U 0627580 5519673,49.81592,-97.22654,0,29,0,29,0.5,100,0.208,0.011,0.125,0.009,
Muir,2016-Jan-19,14U 0627940 5519722,49.81629,-97.22152,0,14,1,15,1,100,0.245,0.016,0.158,0.011,
Cargill,2016-Jan-19,14U 0628021 5520791,49.82588,-97.22004,0,185,0,185,0.4,100,2.116,1.194,1.109,0.606,
Devonian,2016-Feb-11,14U 0627523 5520102,49.81979,-97.22719,0,2,0,2,0.85,100,0.044,0.026,0.018,0.011,
Lake 3,2016-Feb-11,14U 0627538 5519851,49.81753,-97.22706,0,10,0,10,0.75,100,0.115,0.037,0.053,0.019,
Lake 2,2016-Feb-11,14U 0627580 5519673,49.81592,-97.22654,0,121,0,121,0.43,100,0.714,0.029,0.406,0.016,
Muir,2016-Feb-11,14U 0627940 5519722,49.81629,-97.22152,0,11,1,12,1,100,0.212,0.025,0.135,0.012,
Cargill,2016-Feb-11,14U 0628021 5520791,49.82588,-97.22004,0,537,0,537,0.35,50,2.454,1.414,0.896,0.388,
Devonian,2016-Mar-14,14U 0627523 5520102,49.81979,-97.22719,0,4,0,4,1,100,0.075,0.032,0.031,0.009,
Lake 3,2016-Mar-14,14U 0627538 5519851,49.81753,-97.22706,0,2,0,2,0.75,100,0.044,0.02,0.024,0.009,
Lake 2,2016-Mar-14,14U 0627580 5519673,49.81592,-97.22654,0,5,3,8,0.5,100,0.075,0.021,0.05,0.01,
Muir,2016-Mar-14,14U 0627940 5519722,49.81629,-97.22152,0,5,1,6,0.75,100,0.09,0.028,0.048,0.007,
Cargill,2016-Mar-14,14U 0628021 5520791,49.82588,-97.22004,0,1026,0,1026,0.11,100,1.708,0.27,0.929,0.13,
Devonian,2016-Apr-26,14U 0627523 5520102,49.81979,-97.22719,0,136,0,136,0.2,100,0.421,0.017,0.262,0.012,
Lake 3,2016-Apr-26,14U 0627538 5519851,49.81753,-97.22706,0,132,5,137,0.2,100,0.434,0.019,0.276,0.01,
Lake 2,2016-Apr-26,14U 0627580 5519673,49.81592,-97.22654,0,124,5,129,0.3,100,0.634,0.044,0.391,0.012,
Muir,2016-Apr-26,14U 0627940 5519722,49.81629,-97.22152,0,49,1,50,0.5,100,0.419,0.033,0.259,0.013,
Cargill,2016-Apr-26,14U 0628021 5520791,49.82588,-97.22004,0,60,0,60,0.5,100,0.543,0.1,0.327,0.055,
Devonian,2016-May-27,14U 0627523 5520102,49.81979,-97.22719,0,6,0,6,0.8,100,0.102,0.035,0.056,0.016,
Lake 3,2016-May-27,14U 0627538 5519851,49.81753,-97.22706,0,1,1,2,0.8,100,0.056,0.033,0.028,0.011,
Lake 2,2016-May-27,14U 0627580 5519673,49.81592,-97.22654,0,140,0,140,0.27,100,0.615,0.032,0.392,0.023,
Muir,2016-May-27,14U 0627940 5519722,49.81629,-97.22152,0,29,0,29,0.35,100,0.161,0.021,0.095,0.013,
Cargill,2016-May-27,14U 0628021 5520791,49.82588,-97.22004,0,162,0,162,0.3,100,0.975,0.368,0.489,0.157,
Devonian,2016-Jun-16,14U 0627523 5520102,49.81979,-97.22719,0,105,0,105,0.3,100,0.3,0.022,0.117,0.018,
Lake 3,2016-Jun-16,14U 0627538 5519851,49.81753,-97.22706,0,44,0,44,0.7,100,0.349,0.009,0.18,0.015,
Lake 2,2016-Jun-16,14U 0627580 5519673,49.81592,-97.22654,0,87,0,87,0.29,100,0.322,0.009,0.184,0.014,
Muir,2016-Jun-16,14U 0627940 5519722,49.81629,-97.22152,0,8,0,8,0.4,100,0.061,0.021,0.033,0.01,
Cargill,2016-Jun-16,14U 0628021 5520791,49.82588,-97.22004,0,117,0,117,0.3,100,0.602,0.13,0.331,0.058,
