sampling_date,lake_name,sampling_location_utm ,latitude,longitude,sample_depth_m,total_phosphorus_mg/L,total_reactive_phosphorus_mg/L,ammonia_total_as_N_mg/L
2017-Aug-04,Devonian,14U 0627523 5520102,49.81979,-97.22719,0,0.119,0.025,-999
2017-Aug-04,Devonian,14U 0627523 5520102,49.81979,-97.22719,1,0.129,-999,-999
2017-Aug-04,Devonian,14U 0627523 5520102,49.81979,-97.22719,2,0.131,-999,-999
2017-Aug-04,Devonian,14U 0627523 5520102,49.81979,-97.22719,3,0.137,-999,-999
2017-Aug-04,Devonian,14U 0627523 5520102,49.81979,-97.22719,4,0.133,-999,-999
2017-Aug-04,Devonian,14U 0627523 5520102,49.81979,-97.22719,5,0.146,-999,-999
2017-Aug-04,Devonian,14U 0627523 5520102,49.81979,-97.22719,6,0.31,0.119,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,0,0.055,0.018,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,1,0.057,-999,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,2,0.056,-999,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,3,0.072,-999,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,4,0.098,-999,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,5,0.427,-999,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,6,0.609,-999,-999
2017-Aug-04,Lake 2,14U 0627580 5519673,49.81592,-97.22654,7,1.1,0.963,-999
2017-Aug-04,Lake 3,14U 0627538 5519851,49.81753,-97.22706,0,0.084,0.024,-999
2017-Aug-04,Lake 3,14U 0627538 5519851,49.81753,-97.22706,1,0.084,-999,-999
2017-Aug-04,Lake 3,14U 0627538 5519851,49.81753,-97.22706,2,0.083,-999,-999
2017-Aug-04,Lake 3,14U 0627538 5519851,49.81753,-97.22706,3,0.087,-999,-999
2017-Aug-04,Lake 3,14U 0627538 5519851,49.81753,-97.22706,4,0.089,-999,-999
2017-Aug-04,Lake 3,14U 0627538 5519851,49.81753,-97.22706,5,0.348,0.184,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,0,0.054,0.014,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,1,0.056,-999,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,2,0.058,-999,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,3,0.083,-999,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,4,0.085,-999,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,5,0.092,-999,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,6,0.124,-999,-999
2017-Aug-04,Muir,14U 0627940 5519722,49.81629,-97.22152,7,0.357,0.282,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,0,0.249,0.043,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,1,0.259,-999,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,2,0.255,-999,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,3,0.254,-999,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,4,0.251,-999,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,5,0.25,-999,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,6,0.25,-999,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,7,0.255,-999,-999
2017-Aug-04,Cargill,14U 0628021 5520791,49.82588,-97.22004,8,0.259,0.045,-999
2018-Feb-13,Devonian,14U 0627523 5520102,49.81979,-97.22719,0,0.22,0.135,3.36
2018-Feb-13,Devonian,14U 0627523 5520102,49.81979,-97.22719,1,0.223,-999,3.3
